"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"2371","1","EVEN 2025","47","0","3","End Semester Exam","8","AE231102","1","13","2026-05-12","A","1","10:00:00","12:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2372","2","EVEN 2025","47","0","3","End Semester Exam","8","AE231128","0","63","2026-04-30",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2373","4","EVEN 2025","47","0","3","End Semester Exam","8","AE231302","1","47","2026-05-16","A","1","10:00:00","12:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2374","3","EVEN 2025","47","0","3","End Semester Exam","8","AE232113","0","27","2026-04-30",,"3","14:00:00","17:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2375","3","EVEN 2025","47","0","3","End Semester Exam","8","AE232156","0","22","2026-05-12",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2376","3","EVEN 2025","47","0","3","End Semester Exam","8","AE232157","0","33","2026-05-11",,"3","14:00:00","17:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2377","4","EVEN 2025","47","0","3","End Semester Exam","8","AE232159","0","60","2026-05-05",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2378","4","EVEN 2025","47","0","3","End Semester Exam","8","AE232160","0","49","2026-05-07",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2379","4","EVEN 2025","47","0","3","End Semester Exam","8","AE232408","0","55","2026-05-11",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2380","3","EVEN 2025","47","0","3","End Semester Exam","8","AE232505","0","7","2026-05-12",,"4","14:00:00","18:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2381","5","EVEN 2025","47","0","3","End Semester Exam","8","AE233122","0","4","2026-05-05",,"4","14:00:00","18:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2382","5","EVEN 2025","47","0","3","End Semester Exam","8","AE233123","0","4","2026-05-07",,"3","14:00:00","17:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2383","3","EVEN 2025","47","0","3","End Semester Exam","8","AE6211","0","1","2026-05-13",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2384","3","EVEN 2025","47","0","3","End Semester Exam","8","AE6213","0","1","2026-04-30",,"3","14:00:00","17:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2385","3","EVEN 2025","47","0","3","End Semester Exam","8","AE6214","0","1","2026-05-08",,"4","14:00:00","18:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2386","4","EVEN 2025","47","0","3","End Semester Exam","8","AE6216","0","2","2026-05-11",,"3","14:00:00","17:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2387","6","EVEN 2025","47","0","3","End Semester Exam","8","AE6448","0","2","2026-05-05",,"4","14:00:00","18:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2388","6","EVEN 2025","47","0","3","End Semester Exam","8","AE6450","0","3","2026-05-05",,"1","10:00:00","13:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2389","1","EVEN 2025","47","0","3","End Semester Exam","2","ME21101","0","1","2026-04-27",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
"2390","1","EVEN 2025","47","0","3","End Semester Exam","2","ME21102","0","5","2026-04-23",,"3","14:00:00","17:00:00","2026-03-30 03:21:05","GPNCOE","117.254.196.95"
